country,continent,totalCityPopulation,population,ratio
Djibouti,Africa,2863922,956985,0.3
São Tomé and Príncipe,Africa,391964,204327,0.5
New Zealand,Insular Oceania,7145560,5118700,0.7
United Arab Emirates,Asia,12009189,9890400,0.8
North Macedonia,Europe,2051544,1836713,0.9
Cape Verde,Africa,556778,555988,1.0
Singapore,Asia,5866139,5866139,1.0
Curaçao,South America,150000,160337,1.1
Australia,Insular Oceania,20035891,24511800,1.2
The Bahamas,North America,320345,395361,1.2
Venezuela,South America,22409286,28515829,1.3
Guinea-Bissau,Africa,1446859,1861283,1.3
Iceland,Europe,281711,364260,1.3
Mongolia,Asia,2370308,3075647,1.3
Taiwan,Asia,18115941,23593794,1.3
Antigua and Barbuda,North America,70123,95425,1.4
Jordan,Asia,7634215,10428241,1.4
Israel,Asia,6557641,9187000,1.4
Finland,Europe,3889389,5516224,1.4
Equatorial Guinea,Africa,888148,1267689,1.4
Uruguay,South America,2376896,3456750,1.5
Peru,South America,19219901,29381884,1.5
Lithuania,Europe,1817374,2790842,1.5
Kuwait,Asia,2989000,4600000,1.5
Bolivia,South America,6588012,11051600,1.7
Georgia,Europe,2196070,3717100,1.7
Georgia,Asia,2196070,3717100,1.7
Kiribati,Insular Oceania,69512,119438,1.7
Montenegro,Europe,359308,622359,1.7
Albania,Europe,1544726,2793592,1.8
Luxembourg,Europe,348346,645397,1.9
Moldova,Europe,1372143,2550900,1.9
Kazakhstan,Europe,9800394,18276500,1.9
Kazakhstan,Asia,9800394,18276500,1.9
Republic of the Congo,Africa,2733459,5260750,1.9
Tuvalu,Insular Oceania,6025,11792,2.0
Dominican Republic,North America,5312560,10403761,2.0
Honduras,North America,4222400,8303771,2.0
Libya,Africa,3232303,6678567,2.1
Syria,Asia,8931980,18499181,2.1
Turkey,Europe,40725414,84680273,2.1
Turkey,Asia,40725414,84680273,2.1
Dominica,North America,34940,73925,2.1
Palau,Insular Oceania,9935,21729,2.2
Cuba,North America,5073957,11181595,2.2
Canada,North America,15409859,36991981,2.4
Slovenia,Europe,853954,2066880,2.4
Suriname,South America,229257,563402,2.5
Jamaica,North America,1141944,2890299,2.5
Gabon,Africa,797003,2025137,2.5
Serbia,Europe,2752173,7022268,2.6
Saint Lucia,North America,70000,178844,2.6
Argentina,South America,18237105,47327407,2.6
Barbados,North America,110000,285719,2.6
Ecuador,South America,6844212,18000062,2.6
Eswatini,Africa,426106,1124753,2.6
Norway,Europe,2011592,5425270,2.7
Eritrea,Africa,1287797,3497000,2.7
Turkmenistan,Asia,2141264,5850901,2.7
Panama,South America,1479264,4098587,2.8
Panama,North America,1479264,4098587,2.8
United Kingdom,Europe,23533306,66022273,2.8
South Korea,Asia,18294978,51466201,2.8
State of Palestine,Asia,1852745,5227193,2.8
Egypt,Africa,33411500,94798827,2.8
Egypt,Asia,33411500,94798827,2.8
Mexico,North America,43648437,124777324,2.9
Togo,Africa,2719117,7797694,2.9
Guyana,South America,265653,777859,2.9
Spain,Europe,15931262,46733038,2.9
Belize,North America,126057,374681,3.0
Central African Republic,Africa,1491450,4659080,3.1
Bosnia and Herzegovina,Europe,1107658,3507017,3.2
Iraq,Asia,12006005,38274618,3.2
Greece,Europe,3269665,10432481,3.2
Angola,Africa,10222219,32866270,3.2
Poland,Europe,11907442,38382576,3.2
Lesotho,Africa,690592,2233339,3.2
Maldives,Asia,133019,436330,3.3
Bahrain,Asia,446740,1492584,3.3
Sudan,Africa,11651992,40533330,3.5
